latitude [_N],longitude [_E],year,year day,PAR [mol quanta m-2 d-1],SST [oC],MLD [m],daylength [hr],sfce chl. [mg m-3],IPP [g C m-2 d-1]
1.00,265.00,1983,346,37.86,23.49,23.09,11.94,0.38,0.357
0.00,265.00,1983,346,37.86,21.19,15.15,12.00,0.36,0.910
-0.50,265.00,1983,346,39.79,21.19,13.78,12.03,0.25,0.498
-1.03,265.00,1983,346,39.79,21.19,13.76,12.06,0.23,0.612
-1.52,264.97,1983,346,39.79,21.19,14.44,12.09,0.21,0.590
-2.00,265.00,1983,347,44.03,22.39,16.42,12.11,0.29,0.402
-2.98,265.00,1983,347,44.03,22.39,20.48,12.17,0.20,0.459
-4.02,265.00,1983,347,39.21,23.74,32.52,12.23,0.22,0.601
-5.02,265.05,1983,348,47.65,23.74,42.12,12.29,0.28,0.427
-5.00,265.00,1985,107,38.26,26.84,28.92,11.89,0.25,0.643
10.00,189.98,1986,7,22.59,27.14,95.47,11.49,0.07,0.098
8.93,190.05,1986,9,26.07,28.04,95.17,11.54,0.10,0.111
8.00,190.00,1986,9,26.07,28.04,96.73,11.59,0.11,0.091
7.00,190.00,1986,9,24.28,28.14,98.41,11.64,0.25,0.104
6.00,190.00,1986,9,24.28,28.14,95.00,11.70,0.30,0.318
5.00,190.00,1986,10,31.98,27.94,87.37,11.75,0.30,0.289
3.95,190.02,1986,10,31.98,27.94,76.27,11.80,0.28,0.196
1.00,190.00,1986,11,29.36,27.64,60.62,11.95,0.31,0.470
0.50,190.00,1986,11,29.36,27.64,54.66,11.97,0.30,0.477
-0.02,189.98,1986,11,40.25,27.94,55.19,12.00,0.30,0.283
-0.48,189.98,1986,12,43.44,27.87,58.24,12.03,0.27,0.443
-1.00,189.95,1986,12,43.44,27.87,65.87,12.05,0.35,0.534
-1.50,190.00,1986,12,43.44,27.87,67.84,12.08,0.39,0.300
-2.00,190.00,1986,12,43.59,28.67,69.76,12.10,0.33,0.570
-3.00,190.00,1986,13,35.87,28.57,63.74,12.15,0.33,0.264
0.00,184.98,1986,13,32.34,28.07,49.06,12.00,0.44,0.403
0.00,170.00,1986,17,29.70,29.24,37.48,12.00,0.25,0.278
10.02,164.98,1986,31,35.61,27.64,92.55,11.49,0.09,0.072
8.98,164.87,1986,32,29.12,28.32,99.65,11.72,0.07,0.103
7.97,164.97,1986,32,29.12,28.32,99.70,11.76,0.12,0.124
6.98,165.00,1986,32,27.84,28.84,99.41,11.78,0.09,0.214
5.98,165.03,1986,33,30.13,28.84,94.98,11.82,0.10,0.250
4.98,165.02,1986,33,29.34,29.14,81.26,11.85,0.13,0.209
4.00,165.00,1986,33,29.34,29.14,67.86,11.88,0.10,0.384
3.00,165.00,1986,33,30.71,29.52,61.11,11.91,0.10,0.126
1.98,164.98,1986,34,26.29,29.54,49.95,11.94,0.23,0.303
1.52,164.95,1986,34,27.23,29.74,42.27,11.95,0.25,0.245
1.00,164.98,1986,34,27.23,29.74,39.67,11.97,0.29,0.309
0.50,164.98,1986,34,27.23,29.74,36.00,11.98,0.13,0.303
0.00,164.98,1986,18,38.22,29.62,36.36,12.00,0.15,0.177
-0.50,165.02,1986,35,37.10,29.74,36.61,12.02,0.12,0.199
-0.95,165.02,1986,35,37.10,29.74,39.48,12.03,0.12,0.325
-1.50,164.98,1986,35,37.10,29.74,40.29,12.05,0.11,0.254
